model,condition,accept,reject,empty,nodecision
anthropic_claude-haiku-4-5-20251001,CLEAN,12,4,0,0
anthropic_claude-haiku-4-5-20251001,CRUDE,12,4,0,0
anthropic_claude-haiku-4-5-20251001,DIRECTIVE,16,0,0,0
anthropic_claude-haiku-4-5-20251001_def,CLEAN,5,11,0,0
anthropic_claude-haiku-4-5-20251001_def,DIRECTIVE,8,8,0,0
anthropic_claude-opus-5,CLEAN,0,5,0,3
anthropic_claude-opus-5,CRUDE,0,6,0,2
anthropic_claude-opus-5,DIRECTIVE,1,1,0,6
anthropic_claude-sonnet-5,CLEAN,0,16,0,0
anthropic_claude-sonnet-5,CRUDE,1,15,0,0
anthropic_claude-sonnet-5,DIRECTIVE,16,0,0,0
anthropic_claude-sonnet-5_def,CLEAN,0,16,0,0
anthropic_claude-sonnet-5_def,DIRECTIVE,11,5,0,0
gemini_gemini-2.5-flash-lite,CLEAN,16,0,0,0
gemini_gemini-2.5-flash-lite,CRUDE,16,0,0,0
gemini_gemini-2.5-flash-lite,DIRECTIVE,16,0,0,0
gemini_gemini-3.1-pro-preview,CLEAN,16,0,0,0
gemini_gemini-3.1-pro-preview,CRUDE,16,0,0,0
gemini_gemini-3.1-pro-preview,DIRECTIVE,16,0,0,0
gemini_gemini-3.8-flash,CLEAN,0,16,0,0
gemini_gemini-3.8-flash,CRUDE,0,16,0,0
gemini_gemini-3.8-flash,DIRECTIVE,16,0,0,0
gemini_gemini-3.8-flash_def,CLEAN,0,16,0,0
gemini_gemini-3.8-flash_def,DIRECTIVE,0,16,0,0
openai_gpt-4.1,CLEAN,16,0,0,0
openai_gpt-4.1,CRUDE,16,0,0,0
openai_gpt-4.1,DIRECTIVE,16,0,0,0
openai_gpt-4o-mini,CLEAN,16,0,0,0
openai_gpt-4o-mini,CRUDE,16,0,0,0
openai_gpt-4o-mini,DIRECTIVE,16,0,0,0
openai_gpt-5,CLEAN,13,3,0,0
openai_gpt-5,CRUDE,15,1,0,0
openai_gpt-5,DIRECTIVE,16,0,0,0
openai_gpt-5.6-luna,CLEAN,0,16,0,0
openai_gpt-5.6-luna,CRUDE,0,16,0,0
openai_gpt-5.6-luna,DIRECTIVE,16,0,0,0
openai_gpt-5.6-luna_def,CLEAN,0,16,0,0
openai_gpt-5.6-luna_def,DIRECTIVE,0,16,0,0
openai_gpt-5_def,CLEAN,8,8,0,0
openai_gpt-5_def,DIRECTIVE,16,0,0,0
